pkg, A_mk_path, B_mk_path, A_license, B_license, A_version, B_version, status
tr181-upnpdiscovery, feeds/feed_net_services/plugins/tr181-upnpdiscovery/Makefile, feeds/feed_net_services/plugins/tr181-upnpdiscovery/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.9-1, v0.6.9-1, same
tr181-usb, feeds/feed_net_core/plugins/tr181-usb/Makefile, feeds/feed_net_core/plugins/tr181-usb/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.9.2-1, v0.9.2-1, same
tr181-usermanagement, feeds/feed_net_services/plugins/tr181-usermanagement/Makefile, feeds/feed_net_services/plugins/tr181-usermanagement/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.23.9-1, v0.23.9-1, same
tr181-uspservices, feeds/feed_usp/apps/tr181-uspservices/Makefile, feeds/feed_usp/apps/tr181-uspservices/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.3.2-1, v0.3.2-1, same
tr181-xpon, feeds/feed_net_core/plugins/tr181-xpon/Makefile, feeds/feed_net_core/plugins/tr181-xpon/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.4.5-1, v1.4.5-1, same
umdns-prpl, feeds/feed_opensource/base/network/services/umdns-prpl/Makefile, feeds/feed_opensource/base/network/services/umdns-prpl/Makefile, LGPL-2.1, LGPL-2.1, gen_d45c443_v0.2.3-5, gen_d45c443_v0.2.3-5, same
unbound-daemon-prpl, feeds/feed_opensource/packages/net/unbound-prpl/Makefile, feeds/feed_opensource/packages/net/unbound-prpl/Makefile, BSD-3-Clause, BSD-3-Clause, gen_1.18.0_v0.1.3-1, gen_1.18.0_v0.1.3-1, same
uriparser, feeds/feed_amx/libs/uriparser/Makefile, feeds/feed_amx/libs/uriparser/Makefile, BSD-3-Clause, BSD-3-Clause, 0.9.3-1, 0.9.3-1, same
uspagent, feeds/feed_usp/apps/uspagent/Makefile, feeds/feed_usp/apps/uspagent/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v4.6.10-1, v4.6.10-1, same
usp-endpoint, feeds/feed_usp/apps/usp-endpoint/Makefile, feeds/feed_usp/apps/usp-endpoint/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.0.8-1, v2.0.8-1, same
wan-manager, feeds/feed_net_core/plugins/wan-manager/Makefile, feeds/feed_net_core/plugins/wan-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.6.8-1, mainline-3.2_v0.1.0-1, diff
